Restaurant ID,Restaurant Name,Country Code,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Aggregate rating,Votes
16643459,Consort Restaurant,37,Consort,"Chinese, Canadian",25,Dollar($),No,No,3.0,6
17334434,Thatcher's Barbeque and Grill,216,Dalton,"American, BBQ, Southern",25,Dollar($),No,No,3.7,38
17334348,Christian and Jake's Bistro,216,Dalton,"Desserts, Sandwich",10,Dollar($),No,No,4.4,122
17334213,Dub's High on the Hog,216,Dalton,BBQ,25,Dollar($),No,No,4.4,207
17334355,Sierra's Mexican Restaurant,216,Dalton,"Mexican, Tex-Mex",10,Dollar($),No,No,3.9,66
17334212,Oakwood Cafe,216,Dalton,"BBQ, Breakfast, Southern",10,Dollar($),No,No,4.9,249
17333797,Chili's Grill & Bar,216,Dalton,American,25,Dollar($),No,No,3.8,63
17334217,Fuji Japanese Steakhouse,216,Dalton,"Japanese, Sushi",40,Dollar($),No,No,3.8,145
17334273,Las Palmas,216,Dalton,Mexican,10,Dollar($),No,No,3.8,83
17334254,Tony's Italian Restaurant & Pizza,216,Dalton,Italian,25,Dollar($),No,No,3.7,116
17333836,Filling Station,216,Dalton,"American, Burger",10,Dollar($),No,No,4.1,122
17334197,Five Guys Burgers and Fries,216,Dalton,Fast Food,10,Dollar($),No,No,4.1,142
17333882,Los Pablos,216,Dalton,Mexican,10,Dollar($),No,No,4.1,114
17334211,Kobe Hibachi & Sushi,216,Dalton,"American, Japanese, Sushi",25,Dollar($),No,No,4.6,214
17334390,Soho Hibachi,216,Dalton,Japanese,10,Dollar($),No,No,4.3,116
17334034,Thai Garden,216,Dalton,Thai,25,Dollar($),No,No,4.2,111
17334414,Southern Bliss Bakery,216,Dalton,"Desserts, Sandwich",10,Dollar($),No,No,3.7,25
17334082,Bailey's Bar-B-Que,216,Dalton,BBQ,10,Dollar($),No,No,4.1,128
17334364,Farm To Fork,216,Dalton,"American, Diner, Southern",10,Dollar($),No,No,4.3,244
17334398,Home Plate Grill,216,Dalton,"American, BBQ, Southern",10,Dollar($),No,No,4.2,112
17334219,Pie Slingers Pizzeria,216,Dalton,"Italian, Pizza",10,Dollar($),No,No,4.1,144
17335173,Olive Tree Cafe,216,Davenport,"Indian, Mediterranean, Middle Eastern",25,Dollar($),No,No,4.6,166
17335195,"Red Ginger Sushi, Grill & Bar",216,Davenport,"Sushi, Teriyaki",40,Dollar($),No,No,4.5,208
17335225,Crust Stone Oven Pizza,216,Davenport,"Burger, Pizza",25,Dollar($),No,No,3.9,136
17335219,Jimmy's Pancake House,216,Davenport,"American, Breakfast, Greek",10,Dollar($),No,No,4.0,85
17334965,Trattoria Tiramisu,216,Davenport,Italian,25,Dollar($),No,No,4.1,117
17335189,Prairie Grille at SteepleGate Inn,216,Davenport,"American, Breakfast",25,Dollar($),No,No,3.4,53
17335156,Tantra Asian Bistro,216,Davenport,Asian,25,Dollar($),No,No,4.9,474
17334717,Chick-fil-A,216,Davenport,Fast Food,10,Dollar($),No,No,3.9,125
17334752,Duck City Bistro,216,Davenport,"American, French",70,Dollar($),No,No,3.7,201
18453427,Frick's Tap,216,Davenport,"American, Bar Food, BBQ",25,Dollar($),No,No,0.0,2
17793744,Los Agaves,216,Davenport,Mexican,25,Dollar($),No,No,0.0,3
17334679,Azteca,216,Davenport,Mexican,0,Dollar($),No,No,4.3,167
17334718,China Cafe,216,Davenport,Chinese,25,Dollar($),No,No,4.0,112
17334763,Exotic Thai Restaurant,216,Davenport,Thai,25,Dollar($),No,No,4.1,256
17335158,Front Street Brewery,216,Davenport,American,10,Dollar($),No,No,4.3,123
17334782,Granite City Food & Brewery,216,Davenport,American,25,Dollar($),No,No,4.0,199
17334846,Los Agaves,216,Davenport,Mexican,25,Dollar($),No,No,4.1,157
17334853,Machine Shed Restaurant,216,Davenport,American,25,Dollar($),No,No,4.1,100
17335168,Osaka,216,Davenport,"Japanese, Sushi",40,Dollar($),No,No,4.2,141
17334958,Texas Roadhouse,216,Davenport,"American, BBQ, Steak",25,Dollar($),No,No,4.2,197
17258496,Hickory Park,216,Des Moines,"BBQ, Burger, Desserts",25,Dollar($),No,No,4.5,1025
17259395,The Cafe,216,Des Moines,"American, Coffee and Tea",25,Dollar($),No,No,4.9,570
17258350,Flying Mango,216,Des Moines,"BBQ, Caribbean, Cajun",40,Dollar($),No,No,4.5,674
17258136,Cool Basil,216,Des Moines,"Asian, Sushi, Thai",25,Dollar($),No,No,4.1,496
17258522,HuHot Mongolian Grill,216,Des Moines,"Asian, Chinese",25,Dollar($),No,No,4.0,411
17259958,Malo,216,Des Moines,"Latin American, Mexican",25,Dollar($),No,No,3.2,113
17258036,Centro,216,Des Moines,"Italian, Pizza",40,Dollar($),No,No,4.5,1109
17259368,Fong's Pizza,216,Des Moines,"Chinese, Pizza",25,Dollar($),No,No,4.6,728
17257684,A Dong Restaurant,216,Des Moines,"Asian, Vegetarian, Vietnamese, Bubble Tea",10,Dollar($),No,No,4.4,659
17258154,Court Avenue Brewing Company,216,Des Moines,"American, Pizza, Bar Food",40,Dollar($),No,No,4.2,370
17259340,Django,216,Des Moines,French,40,Dollar($),No,No,4.3,532
17259243,Miyabi 9,216,Des Moines,"Japanese, Sushi",25,Dollar($),No,No,4.8,860
17259625,Zombie Burger + Drink Lab,216,Des Moines,"Burger, Desserts, Vegetarian",10,Dollar($),No,No,4.2,943
17259169,Tursi's Latin King,216,Des Moines,"American, Italian",70,Dollar($),No,No,4.1,476
